in.county,time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
G4500070,2018-07-01T04:00:00Z,28.25,92.81,1.54,35.38,0,0,0
G4500070,2018-07-01T05:00:00Z,28.68,90.44,0.47,28.46,0,0,0
G4500070,2018-07-01T06:00:00Z,28.72,90.27,1.66,93.85,5,18.5,4.5
G4500070,2018-07-01T07:00:00Z,28.76,92.68,1.72,97.14,67,189,38
G4500070,2018-07-01T08:00:00Z,30.03,87.37,1.85,112.67,150.5,146.5,91.5
G4500070,2018-07-01T09:00:00Z,32.25,74.46,1.86,93.85,480,692.5,102.5
G4500070,2018-07-01T10:00:00Z,32.95,70.28,2.17,78.46,609,647,152
G4500070,2018-07-01T11:00:00Z,33.8,66.74,2.41,91.54,728,628,200
G4500070,2018-07-01T12:00:00Z,34.68,63.44,3.64,103.85,683.5,354.5,353.5
G4500070,2018-07-01T13:00:00Z,35.28,61.36,3.52,103.08,692,364,336
G4500070,2018-07-01T14:00:00Z,35.89,58.91,3.68,115.38,754.5,363,403
G4500070,2018-07-01T15:00:00Z,33.33,71.55,2.97,188.46,382,77,312.5
G4500070,2018-07-01T16:00:00Z,34.28,71.93,2.26,209.23,593,518.5,178
G4500070,2018-07-01T17:00:00Z,36.28,61.71,1.19,90.77,449.5,422,171.5
G4500070,2018-07-01T18:00:00Z,33.4,68.7,4.67,100.77,237.5,144,167.5
G4500070,2018-07-01T19:00:00Z,32.019999999999996,74.19,2.1,76.92,159.5,185.5,104
G4500070,2018-07-01T20:00:00Z,31.51,78.96,1.94,133.85,38,60.5,31
G4500070,2018-07-01T21:00:00Z,30.46,83.61,2.18,29.23,0,0,0
G4500070,2018-07-01T22:00:00Z,29.03,88.54,2.06,30,0,0,0
G4500070,2018-07-01T23:00:00Z,29.03,88.54,2.22,70,0,0,0
G4500070,2018-07-02T00:00:00Z,29.05,92.61,2.44,99.33,0,0,0
G4500070,2018-07-02T01:00:00Z,28.84,92.07,2.28,198.75,0,0,0
G4500070,2018-07-02T02:00:00Z,28.02,94.08,0.59,117.69,0,0,0
G4500070,2018-07-02T03:00:00Z,28.02,94.08,1.07,186.15,0,0,0
G4500070,2018-07-02T04:00:00Z,28.02,94.08,0.71,137.69,0,0,0
G4500070,2018-07-02T05:00:00Z,28.04,95.97,0,0,0,0,0
G4500070,2018-07-02T06:00:00Z,28.61,96.36,0.24,9.23,2,0,2
G4500070,2018-07-02T07:00:00Z,28.98,94.05,0.82,50,57,43.5,48
G4500070,2018-07-02T08:00:00Z,29.76,90.32,2.17,100,118.5,29.5,109
G4500070,2018-07-02T09:00:00Z,31.29,82.26,1.75,114.29,242,62,207
G4500070,2018-07-02T10:00:00Z,31.94,79.26,1.34,112.14,461.5,223,300
G4500070,2018-07-02T11:00:00Z,33.019999999999996,74.26,1.07,77.69,527,169.5,385
G4500070,2018-07-02T12:00:00Z,33.45,70.26,1.58,131.54,611.5,206,417.5
G4500070,2018-07-02T13:00:00Z,34.260000000000005,65,0.51,36.92,729.5,355,383
G4500070,2018-07-02T14:00:00Z,34.92,63.49,1.86,100,717.5,265,461
G4500070,2018-07-02T15:00:00Z,35.85,59.32,1.78,126.15,617,261,381.5
G4500070,2018-07-02T16:00:00Z,36.59,54.25,3.05,197.69,686,619,194.5
G4500070,2018-07-02T17:00:00Z,36.82,52.79,1.7,120.77,596.5,719,124.5
G4500070,2018-07-02T18:00:00Z,36.39,54.1,2.33,136.92,409,629.5,105.5
G4500070,2018-07-02T19:00:00Z,35.97,57.03,1.94,129.23,208,434.5,78.5
G4500070,2018-07-02T20:00:00Z,33.6,68.72,2.53,111.54,42.5,112.5,30
G4500070,2018-07-02T21:00:00Z,31.98,76,0.75,45.38,0,0,0
G4500070,2018-07-02T22:00:00Z,31.39,80.58,0.71,25.38,0,0,0
G4500070,2018-07-02T23:00:00Z,31.32,81.3,0.12,3.85,0,0,0
G4500070,2018-07-03T00:00:00Z,30.77,84.9,0.24,31.54,0,0,0
G4500070,2018-07-03T01:00:00Z,30.31,87.26,0.24,40.77,0,0,0
G4500070,2018-07-03T02:00:00Z,29.42,91.8,0,0,0,0,0
G4500070,2018-07-03T03:00:00Z,28.99,92.41,1.11,22.31,0,0,0
G4500070,2018-07-03T04:00:00Z,28.99,88.75,1.58,35.38,0,0,0
G4500070,2018-07-03T05:00:00Z,28.53,91.28,0.71,18.46,0,0,0
G4500070,2018-07-03T06:00:00Z,28.25,92.81,0,0,4.5,18.5,4
G4500070,2018-07-03T07:00:00Z,29.55,89.09,0,0,100.5,303,49
G4500070,2018-07-03T08:00:00Z,32.25,77.65,0.59,23.85,284,561.5,83.5
G4500070,2018-07-03T09:00:00Z,33.260000000000005,73.37,0.59,28.33,484,700.5,104
G4500070,2018-07-03T10:00:00Z,34.69,64.5,1.18,127.69,669,779,117.5
G4500070,2018-07-03T11:00:00Z,35.91,62.7,1.21,62.14,603,317.5,340
G4500070,2018-07-03T12:00:00Z,36.55,58.8,2.26,76.67,604.5,215.5,404
G4500070,2018-07-03T13:00:00Z,37.25,54.57,2.1,88.46,761.5,395,376.5
G4500070,2018-07-03T14:00:00Z,37.87,51.72,1.7,71.54,835,533.5,319.5
G4500070,2018-07-03T15:00:00Z,38.34,49.81,1.62,96.67,886.5,817,145
G4500070,2018-07-03T16:00:00Z,38.84,47.94,1.87,81.82,747.5,728,165
G4500070,2018-07-03T17:00:00Z,38.52,48.12,3.13,34.62,380.5,269.5,193.5
G4500070,2018-07-03T18:00:00Z,37.32,54.64,1.27,196.15,264.5,157.5,186.5
G4500070,2018-07-03T19:00:00Z,36.28,64.45,1.66,264.62,194.5,344.5,95
G4500070,2018-07-03T20:00:00Z,34.769999999999996,70.69,2.83,299.17,49.5,129,34
G4500070,2018-07-03T21:00:00Z,29.14,84.74,6.51,188.82,0,0,0
G4500070,2018-07-03T22:00:00Z,27.99,90.25,2.4,267.33,0,0,0
G4500070,2018-07-03T23:00:00Z,28.02,93.86,1.39,203.85,0,0,0
G4500070,2018-07-04T00:00:00Z,28.02,93.86,0.99,161.54,0,0,0
G4500070,2018-07-04T01:00:00Z,28.02,92.32,0.47,34.62,0,0,0
G4500070,2018-07-04T02:00:00Z,28.02,93.43,1.19,42.31,0,0,0
G4500070,2018-07-04T03:00:00Z,27.98,94.08,1.19,42.31,0,0,0
G4500070,2018-07-04T04:00:00Z,27.98,94.08,1.42,51.54,0,0,0
G4500070,2018-07-04T05:00:00Z,28.02,93.86,1.78,60.77,0,0,0
G4500070,2018-07-04T06:00:00Z,28.02,93.86,1.66,61.54,3.5,9.5,3.5
G4500070,2018-07-04T07:00:00Z,29.23,88.18,2.06,58.46,92,202,57.5
G4500070,2018-07-04T08:00:00Z,31.08,82.74,2.61,76.15,268.5,441,111
G4500070,2018-07-04T09:00:00Z,31.86,76.69,2.22,64.62,344,343.5,164
G4500070,2018-07-04T10:00:00Z,33.3,69.2,3.48,71.67,568,567.5,161
G4500070,2018-07-04T11:00:00Z,34.07,66.98,3.29,50.77,627,455.5,250
G4500070,2018-07-04T12:00:00Z,34.93,64.42,4.15,75.38,898.5,775,177
G4500070,2018-07-04T13:00:00Z,36.32,57.09,5.58,81.54,900,679.5,238
G4500070,2018-07-04T14:00:00Z,36.980000000000004,53.84,5.54,74.62,870,612,278
G4500070,2018-07-04T15:00:00Z,36.31,55.51,5.14,93.08,666.5,327,368
G4500070,2018-07-04T16:00:00Z,36.480000000000004,57.4,4.67,93.85,672,553.5,230
G4500070,2018-07-04T17:00:00Z,36.55,56.88,6.09,83.85,583,658.5,152
G4500070,2018-07-04T18:00:00Z,36.39,54.23,4.99,76.15,406.5,590,121.5
G4500070,2018-07-04T19:00:00Z,35.69,57.15,4.55,78.46,211,413,89.5
G4500070,2018-07-04T20:00:00Z,33.79,63.55,3.05,59.23,50,133.5,34
G4500070,2018-07-04T21:00:00Z,32.28,72.59,2.26,102.31,0,0,0
G4500070,2018-07-04T22:00:00Z,31.51,76.48,0,0,0,0,0
G4500070,2018-07-04T23:00:00Z,30.38,82.76,0,0,0,0,0
G4500070,2018-07-05T00:00:00Z,30,83.99,0.63,50.77,0,0,0
G4500070,2018-07-05T01:00:00Z,29.57,87.7,0.12,6.92,0,0,0
G4500070,2018-07-05T02:00:00Z,29.49,88.18,1.03,49.23,0,0,0
G4500070,2018-07-05T03:00:00Z,28.92,93.26,0,0,0,0,0
G4500070,2018-07-05T04:00:00Z,29.03,91.77,0.75,11.54,0,0,0
G4500070,2018-07-05T05:00:00Z,29.03,91.1,0.71,60.77,0,0,0
G4500070,2018-07-05T06:00:00Z,29.03,88.54,1.58,250,1.5,1.5,1.5
G4500070,2018-07-05T07:00:00Z,28.98,88.49,3.41,164.38,22.5,0,22.5
G4500070,2018-07-05T08:00:00Z,28.39,93.19,2.82,51.18,112.5,128.5,61
G4500070,2018-07-05T09:00:00Z,30.7,83.9,4.08,48.46,472,663,114
G4500070,2018-07-05T10:00:00Z,31.71,80.17,3.45,64.62,557.5,490.5,219.5
G4500070,2018-07-05T11:00:00Z,32.89,73.26,3.05,69.23,525,172.5,380.5
G4500070,2018-07-05T12:00:00Z,33.879999999999995,66.14,2.41,96.15,591.5,185.5,418
G4500070,2018-07-05T13:00:00Z,35.510000000000005,60.65,2.44,44.17,680,273,413.5
G4500070,2018-07-05T14:00:00Z,36.08,58,2.96,90,898,695,226
G4500070,2018-07-05T15:00:00Z,36.47,55.31,3.25,88.46,749,465.5,325
G4500070,2018-07-05T16:00:00Z,36.47,55.29,3.13,85.38,637.5,400.5,315.5
G4500070,2018-07-05T17:00:00Z,36.59,54.54,2.97,62.31,516.5,443.5,230.5
G4500070,2018-07-05T18:00:00Z,36.47,53.99,3.45,78.46,379,492,140
G4500070,2018-07-05T19:00:00Z,35.82,58.24,1.98,76.15,169.5,223.5,101
G4500070,2018-07-05T20:00:00Z,34.33,64.91,1.11,22.31,48,124,33
G4500070,2018-07-05T21:00:00Z,32.370000000000005,75.17,0.36,8.46,0,0,0
G4500070,2018-07-05T22:00:00Z,31.98,77.87,1.54,68.46,0,0,0
G4500070,2018-07-05T23:00:00Z,31.05,79.67,2.22,121.54,0,0,0
G4500070,2018-07-06T00:00:00Z,29.65,88.26,1.46,144.62,0,0,0
G4500070,2018-07-06T01:00:00Z,29.11,88.14,0.12,19.23,0,0,0
G4500070,2018-07-06T02:00:00Z,28.48,91.54,0.32,49.23,0,0,0
G4500070,2018-07-06T03:00:00Z,28.02,93.86,0,0,0,0,0
G4500070,2018-07-06T04:00:00Z,27.98,94.08,0,0,0,0,0
G4500070,2018-07-06T05:00:00Z,27.78,94.79,0.32,50,0,0,0
G4500070,2018-07-06T06:00:00Z,27.68,94.52,0,0,3.5,9,3.5
G4500070,2018-07-06T07:00:00Z,28.15,93.43,0.47,51.54,79.5,168.5,51.5
G4500070,2018-07-06T08:00:00Z,30.32,87.1,1.34,146.15,248,389.5,109
G4500070,2018-07-06T09:00:00Z,32.480000000000004,76.62,1.86,248.33,451.5,582,139.5
G4500070,2018-07-06T10:00:00Z,33.760000000000005,71.44,2.02,233.85,550,386.5,278.5
G4500070,2018-07-06T11:00:00Z,34.58,67.55,1.19,140,703,458.5,319
G4500070,2018-07-06T12:00:00Z,36.129999999999995,58.15,1.66,192.5,883.5,733.5,199.5
G4500070,2018-07-06T13:00:00Z,36.9,53.71,2.65,242.31,957,821,157.5
G4500070,2018-07-06T14:00:00Z,37.33,50.35,2.46,220.71,936.5,776.5,186.5
G4500070,2018-07-06T15:00:00Z,37.36,48.73,2.06,196.36,718.5,414,341.5
G4500070,2018-07-06T16:00:00Z,31.89,63.66,4.53,64,410,145,291
G4500070,2018-07-06T17:00:00Z,30.9,78.58,2.41,209.33,314,114.5,242.5
G4500070,2018-07-06T18:00:00Z,32.019999999999996,71.45,1.98,229.23,300,218,193
G4500070,2018-07-06T19:00:00Z,31.98,74.36,1.58,142.31,79,8,76.5
G4500070,2018-07-06T20:00:00Z,31.2,77.86,1.54,53.08,19,0,19
G4500070,2018-07-06T21:00:00Z,30.31,76.81,1.15,94.62,0,0,0
G4500070,2018-07-06T22:00:00Z,29.65,77.76,1.54,217.69,0,0,0
G4500070,2018-07-06T23:00:00Z,28.99,83.25,0.99,187.69,0,0,0
G4500070,2018-07-07T00:00:00Z,28.99,83.25,0.91,38.46,0,0,0
G4500070,2018-07-07T01:00:00Z,28.1,87.86,2.25,76.92,0,0,0
G4500070,2018-07-07T02:00:00Z,27.55,90.83,1.03,69.23,0,0,0
G4500070,2018-07-07T03:00:00Z,27.02,93.81,0.36,40,0,0,0
G4500070,2018-07-07T04:00:00Z,27.02,93.81,0.12,25.38,0,0,0
G4500070,2018-07-07T05:00:00Z,26.98,94.02,0.59,135.38,0,0,0
G4500070,2018-07-07T06:00:00Z,27.02,93.81,1.3,150,3,9.5,3
G4500070,2018-07-07T07:00:00Z,27.45,91.64,3.09,38.46,51,58.5,43.5
G4500070,2018-07-07T08:00:00Z,28.77,86.07,4.99,50.77,171.5,114.5,131
G4500070,2018-07-07T09:00:00Z,31.08,74.97,4.97,54.67,271.5,112,213
G4500070,2018-07-07T10:00:00Z,30.61,75.83,4.48,47.14,213.5,19,200.5
G4500070,2018-07-07T11:00:00Z,30.23,77.53,4.16,48.46,172,5.5,167.5
G4500070,2018-07-07T12:00:00Z,30.24,80.9,5.15,53.85,191,7,184.5
G4500070,2018-07-07T13:00:00Z,29.99,83.94,6.04,62,242,17,225.5
G4500070,2018-07-07T14:00:00Z,28.81,88.44,5.18,48.67,146,4.5,141.5
G4500070,2018-07-07T15:00:00Z,28.72,85.08,6.17,44.62,190.5,8.5,183
G4500070,2018-07-07T16:00:00Z,28.53,82.27,6.09,46.92,175,6.5,170
G4500070,2018-07-07T17:00:00Z,28.08,79.43,5.84,45.71,116,0,116
G4500070,2018-07-07T18:00:00Z,27.98,78.47,5.5,47.69,163,155,96
G4500070,2018-07-07T19:00:00Z,27.83,79,5.58,49.29,125,202.5,60.5
G4500070,2018-07-07T20:00:00Z,27.55,80.38,5.5,52.31,28.5,57,20.5
G4500070,2018-07-07T21:00:00Z,27.03,81.72,3.77,48,0,0,0
G4500070,2018-07-07T22:00:00Z,27.02,79.68,3.13,44.62,0,0,0
G4500070,2018-07-07T23:00:00Z,26.98,78.32,3.36,46.15,0,0,0
G4500070,2018-07-08T00:00:00Z,27.02,77.94,3.56,49.23,0,0,0
G4500070,2018-07-08T01:00:00Z,27.02,75.52,3.84,43.08,0,0,0
G4500070,2018-07-08T02:00:00Z,27.02,73.32,3.88,51.54,0,0,0
G4500070,2018-07-08T03:00:00Z,27.02,73.32,4.04,54.62,0,0,0
G4500070,2018-07-08T04:00:00Z,26.98,73.32,3.84,50,0,0,0
G4500070,2018-07-08T05:00:00Z,26.08,74.09,4.23,46.92,0,0,0
G4500070,2018-07-08T06:00:00Z,25.89,72.59,4.47,49.23,4,14.5,4
G4500070,2018-07-08T07:00:00Z,25.97,70.84,4.99,57.69,95.5,294.5,47.5
G4500070,2018-07-08T08:00:00Z,26.36,65.84,6.21,57.69,278,565,80
G4500070,2018-07-08T09:00:00Z,27.37,56.43,6.73,56.92,479,711.5,97
G4500070,2018-07-08T10:00:00Z,28.38,52.14,5.66,54.62,668.5,800.5,105.5
G4500070,2018-07-08T11:00:00Z,29.31,49.06,5.06,66.15,827,855,111
G4500070,2018-07-08T12:00:00Z,30.43,46.11,4.71,59.23,939.5,888.5,114
G4500070,2018-07-08T13:00:00Z,31.21,43.82,3.68,63.85,997,908,113
G4500070,2018-07-08T14:00:00Z,32.019999999999996,42.65,3.01,46.92,993,916,109
G4500070,2018-07-08T15:00:00Z,32.75,41.68,2.92,72.5,926,906,104.5
G4500070,2018-07-08T16:00:00Z,33.019999999999996,41.53,3.25,65.38,803,879,99
G4500070,2018-07-08T17:00:00Z,33.25,39.27,3.6,75.38,634.5,829.5,90.5
G4500070,2018-07-08T18:00:00Z,32.980000000000004,39.09,3.96,79.23,437.5,746,78.5
G4500070,2018-07-08T19:00:00Z,32.36,39.03,3.52,76.15,232.5,594.5,59.5
G4500070,2018-07-08T20:00:00Z,30.25,48.24,0.51,13.85,57.5,266,28
G4500070,2018-07-08T21:00:00Z,27.94,62.8,0,0,0,0,0
G4500070,2018-07-08T22:00:00Z,26.55,70.49,0,0,0,0,0
G4500070,2018-07-08T23:00:00Z,25.97,74.06,0,0,0,0,0
G4500070,2018-07-09T00:00:00Z,25.97,72.79,0.36,8.46,0,0,0
G4500070,2018-07-09T01:00:00Z,26.01,66.59,0.99,20,0,0,0
G4500070,2018-07-09T02:00:00Z,25.31,67.29,1.07,37.69,0,0,0
G4500070,2018-07-09T03:00:00Z,24.57,70.43,1.46,28.46,0,0,0
G4500070,2018-07-09T04:00:00Z,24.11,72.45,1.86,36.92,0,0,0
G4500070,2018-07-09T05:00:00Z,23.79,73.72,1.58,36.92,0,0,0
G4500070,2018-07-09T06:00:00Z,23.92,73.14,0.83,14.62,4,27.5,4
G4500070,2018-07-09T07:00:00Z,25.01,68.62,0.51,5.38,101.5,381.5,41
G4500070,2018-07-09T08:00:00Z,27.22,59.88,1.46,44.62,291,637.5,69
G4500070,2018-07-09T09:00:00Z,29.08,55.57,2.37,76.92,496.5,765.5,87
G4500070,2018-07-09T10:00:00Z,30.24,52.79,2.1,73.33,686.5,840,96.5
G4500070,2018-07-09T11:00:00Z,31.86,47.13,0.99,64.62,844,885.5,103.5
G4500070,2018-07-09T12:00:00Z,32.83,45.64,0.99,110.77,954,912,107
G4500070,2018-07-09T13:00:00Z,33.53,46.42,1.34,146.92,1007,923.5,109
G4500070,2018-07-09T14:00:00Z,34.11,45.55,2.06,257.5,997.5,920.5,109.5
G4500070,2018-07-09T15:00:00Z,34.89,46.06,1.82,237.69,928.5,908,106
G4500070,2018-07-09T16:00:00Z,35.54,44.83,2.3,244.62,804,878.5,100.5
G4500070,2018-07-09T17:00:00Z,35.54,45.05,2.37,278.46,634.5,827,92.5
G4500070,2018-07-09T18:00:00Z,35.46,45.85,2.25,276.92,436.5,740,80.5
G4500070,2018-07-09T19:00:00Z,34.53,50.53,1.98,266.92,231,583.5,62
G4500070,2018-07-09T20:00:00Z,32.980000000000004,57.17,0.59,99.23,56.5,250,28.5
G4500070,2018-07-09T21:00:00Z,30.46,72.05,0,0,0,0,0
G4500070,2018-07-09T22:00:00Z,29.11,81.76,0.12,16.15,0,0,0
G4500070,2018-07-09T23:00:00Z,28.6,84.87,0.12,6.92,0,0,0
G4500070,2018-07-10T00:00:00Z,27.86,89.13,0,0,0,0,0
G4500070,2018-07-10T01:00:00Z,26.82,89.87,0,0,0,0,0
G4500070,2018-07-10T02:00:00Z,26.75,85.44,0,0,0,0,0
G4500070,2018-07-10T03:00:00Z,26.08,88.1,0,0,0,0,0
G4500070,2018-07-10T04:00:00Z,26.01,89.2,0,0,0,0,0
G4500070,2018-07-10T05:00:00Z,25.54,89.77,0,0,0,0,0
G4500070,2018-07-10T06:00:00Z,24.93,91.49,0.36,80,4,26.5,4
G4500070,2018-07-10T07:00:00Z,27.29,91.85,1.58,284.62,101.5,383,41
G4500070,2018-07-10T08:00:00Z,29.43,80.95,1.27,164.62,291.5,644,68.5
G4500070,2018-07-10T09:00:00Z,32.33,61.92,1.74,100,497.5,772.5,85.5
G4500070,2018-07-10T10:00:00Z,34.11,50.35,2.57,68.46,686.5,840,98
G4500070,2018-07-10T11:00:00Z,35.28,42.41,1.63,58.18,841,878,107
G4500070,2018-07-10T12:00:00Z,36.010000000000005,41.68,1.94,105.38,947,896.5,115
G4500070,2018-07-10T13:00:00Z,36.47,43.91,1.86,145.83,910.5,684.5,245.5
G4500070,2018-07-10T14:00:00Z,36.71,45.25,1.82,240.77,846.5,529.5,335.5
G4500070,2018-07-10T15:00:00Z,37.09,44.58,2.37,256.92,783.5,572,266
G4500070,2018-07-10T16:00:00Z,37.25,44,2.89,280,787,841.5,113.5
G4500070,2018-07-10T17:00:00Z,37.13,44.16,3.21,277.69,612,761,112.5
G4500070,2018-07-10T18:00:00Z,36.82,44.62,3.17,260,386.5,552.5,122.5
G4500070,2018-07-10T19:00:00Z,36.43,44.55,2.22,252.31,192,388.5,83.5
G4500070,2018-07-10T20:00:00Z,34.45,52.76,1.27,173.85,47.5,153,28.5
G4500070,2018-07-10T21:00:00Z,32.44,65.91,0,0,0,0,0
G4500070,2018-07-10T22:00:00Z,31.08,70.53,0.24,53.08,0,0,0
G4500070,2018-07-10T23:00:00Z,29.38,81.39,0,0,0,0,0
G4500070,2018-07-11T00:00:00Z,28.61,85.24,0.12,6.92,0,0,0
G4500070,2018-07-11T01:00:00Z,28.33,86.87,0,0,0,0,0
G4500070,2018-07-11T02:00:00Z,27.71,89.98,0,0,0,0,0
G4500070,2018-07-11T03:00:00Z,27.55,90.83,0,0,0,0,0
G4500070,2018-07-11T04:00:00Z,27.05,93.6,0,0,0,0,0
G4500070,2018-07-11T05:00:00Z,27.45,92.07,0.59,132.31,0,0,0
G4500070,2018-07-11T06:00:00Z,27.98,88.67,0.51,110,3,17.5,3
G4500070,2018-07-11T07:00:00Z,28.49,90.04,0.4,76.15,95,336,42.5
G4500070,2018-07-11T08:00:00Z,31.6,74.49,0.99,24.62,278.5,594.5,73.5
G4500070,2018-07-11T09:00:00Z,34,62.36,2.02,40,478,725,92
G4500070,2018-07-11T10:00:00Z,35.93,56.46,2.41,62.31,660,785.5,110.5
G4500070,2018-07-11T11:00:00Z,36.71,52.18,2.3,95.83,803,784,148.5
G4500070,2018-07-11T12:00:00Z,37.37,47.8,1.23,81.54,849,661.5,237.5
G4500070,2018-07-11T13:00:00Z,37.79,45.44,1.94,210.77,886.5,649,257
G4500070,2018-07-11T14:00:00Z,38.61,42.64,2.26,233.08,817.5,510,325
G4500070,2018-07-11T15:00:00Z,37.99,44.93,2.18,204.62,626,306,352.5
G4500070,2018-07-11T16:00:00Z,38.99,38.65,2.45,281.54,763,783.5,136.5
G4500070,2018-07-11T17:00:00Z,38.99,39.43,3.33,285.38,600,726.5,124.5
G4500070,2018-07-11T18:00:00Z,37.86,43.38,3.13,280,407.5,624.5,107.5
G4500070,2018-07-11T19:00:00Z,36.66,54.31,1.94,309.23,203.5,413.5,85
G4500070,2018-07-11T20:00:00Z,34.92,64.26,1.3,166.15,47.5,141,31.5
G4500070,2018-07-11T21:00:00Z,33.29,67.1,2.73,240,0,0,0
G4500070,2018-07-11T22:00:00Z,32.129999999999995,67.18,0.79,159.23,0,0,0
G4500070,2018-07-11T23:00:00Z,31.2,69.8,0.59,74.62,0,0,0
G4500070,2018-07-12T00:00:00Z,30.89,74.02,0.99,180,0,0,0
G4500070,2018-07-12T01:00:00Z,30.62,75.27,0.75,141.54,0,0,0
G4500070,2018-07-12T02:00:00Z,29.18,82.51,0.24,43.08,0,0,0
G4500070,2018-07-12T03:00:00Z,28.76,84.64,0.12,23.08,0,0,0
G4500070,2018-07-12T04:00:00Z,28.53,86.24,0.44,29.23,0,0,0
G4500070,2018-07-12T05:00:00Z,28.99,85.47,0.4,55.38,0,0,0
G4500070,2018-07-12T06:00:00Z,28.64,88.41,0.67,111.54,1.5,1.5,1.5
G4500070,2018-07-12T07:00:00Z,29.18,87.35,1.11,79.23,55,51,48.5
G4500070,2018-07-12T08:00:00Z,31.32,76.89,2.29,51.54,178.5,142.5,125.5
G4500070,2018-07-12T09:00:00Z,33.22,68.39,3.52,67.69,418.5,465,167.5
G4500070,2018-07-12T10:00:00Z,34.230000000000004,65.1,3.01,66.67,642.5,716,142
G4500070,2018-07-12T11:00:00Z,35.7,59.98,1.66,90,793.5,762.5,157.5
G4500070,2018-07-12T12:00:00Z,36.519999999999996,57.54,1.5,78.46,854,687,219
G4500070,2018-07-12T13:00:00Z,37.25,55.99,1.5,139.23,670,251.5,425.5
G4500070,2018-07-12T14:00:00Z,37.43,57.54,1.73,77.14,700.5,268.5,441.5
G4500070,2018-07-12T15:00:00Z,37.91,53.71,2.22,66.15,699,346,387.5
G4500070,2018-07-12T16:00:00Z,36.78,59.55,2.26,95.38,541,288,309
G4500070,2018-07-12T17:00:00Z,34.46,61.72,4.82,117.5,439,294,248
G4500070,2018-07-12T18:00:00Z,34.239999999999995,60.96,3.31,162.14,301.5,331,135
G4500070,2018-07-12T19:00:00Z,34.07,65.47,2.06,153.85,136.5,175.5,82.5
G4500070,2018-07-12T20:00:00Z,33.25,72.84,0.75,50.77,26,31,22.5
G4500070,2018-07-12T21:00:00Z,31.98,79.04,1.66,97.69,0,0,0
G4500070,2018-07-12T22:00:00Z,31.36,81.58,2.81,73.85,0,0,0
G4500070,2018-07-12T23:00:00Z,31.12,78.02,2.85,47.69,0,0,0
G4500070,2018-07-13T00:00:00Z,30.03,82.26,4.08,60,0,0,0
G4500070,2018-07-13T01:00:00Z,28.99,84.5,3.4,60,0,0,0
G4500070,2018-07-13T02:00:00Z,28.99,88.47,1.62,27.14,0,0,0
G4500070,2018-07-13T03:00:00Z,28.99,88.75,2.14,51.67,0,0,0
G4500070,2018-07-13T04:00:00Z,28.99,88.75,2.65,33.85,0,0,0
G4500070,2018-07-13T05:00:00Z,28.99,88.75,2.65,36.92,0,0,0
G4500070,2018-07-13T06:00:00Z,28.99,88.54,2.81,44.62,2,2.5,2
G4500070,2018-07-13T07:00:00Z,29.03,88.54,3.48,42.31,76,149.5,50
G4500070,2018-07-13T08:00:00Z,30.66,80.38,3.72,49.23,199.5,261,115.5
G4500070,2018-07-13T09:00:00Z,31.13,78.16,4.39,63.85,177.5,14,170
G4500070,2018-07-13T10:00:00Z,32.64,74.48,3.72,68.46,449,194,313.5
G4500070,2018-07-13T11:00:00Z,33.8,70.68,4.23,79.29,587.5,247.5,379.5
G4500070,2018-07-13T12:00:00Z,33.89,70.68,4.01,76.67,601.5,238,379
G4500070,2018-07-13T13:00:00Z,34.68,67.13,4.59,72.86,702.5,296,414.5
G4500070,2018-07-13T14:00:00Z,35.510000000000005,63.73,5.1,69.23,882.5,607.5,297
G4500070,2018-07-13T15:00:00Z,35.03,63.47,5.58,83.57,792,523,320
G4500070,2018-07-13T16:00:00Z,35,62.26,4.99,87.69,716.5,589,246
G4500070,2018-07-13T17:00:00Z,34.72,63.28,5.11,99.23,557.5,528,212.5
G4500070,2018-07-13T18:00:00Z,33.989999999999995,64.59,4.95,103.85,379,444.5,165.5
G4500070,2018-07-13T19:00:00Z,33.06,65.64,3.48,107.69,190,282.5,108.5
G4500070,2018-07-13T20:00:00Z,31.98,72.63,1.94,83.85,42,79,33
G4500070,2018-07-13T21:00:00Z,31.01,78.54,2.1,80,0,0,0
G4500070,2018-07-13T22:00:00Z,30.97,78.71,2.06,90.77,0,0,0
G4500070,2018-07-13T23:00:00Z,30.97,78.71,2.77,90.77,0,0,0
G4500070,2018-07-14T00:00:00Z,30.97,78.71,2.49,92.31,0,0,0
G4500070,2018-07-14T01:00:00Z,30.15,82.63,2.41,65.38,0,0,0
G4500070,2018-07-14T02:00:00Z,30,83.36,1.78,44.62,0,0,0
G4500070,2018-07-14T03:00:00Z,29.34,86.76,1.94,57.69,0,0,0
G4500070,2018-07-14T04:00:00Z,29.03,88.34,1.42,63.08,0,0,0
G4500070,2018-07-14T05:00:00Z,29.06,88.1,1.69,60.71,0,0,0
G4500070,2018-07-14T06:00:00Z,29.03,87.53,1.74,50,0.5,0,0.5
G4500070,2018-07-14T07:00:00Z,28.99,88.13,1.42,56.92,17,0,17
G4500070,2018-07-14T08:00:00Z,28.79,89.63,1.94,43.08,89,3,88
G4500070,2018-07-14T09:00:00Z,27.9,92.36,3.67,80,116.5,1.5,116
